Accuracy,TestSize
0.7253086419753086,0.75
0.7584876543209876,0.75
0.7283950617283951,0.75
0.6890432098765432,0.75
0.7800925925925926,0.75
0.7685185185185185,0.5
0.7986111111111112,0.5
0.7696759259259259,0.5
0.7754629629629629,0.5
0.7361111111111112,0.5
0.7847222222222222,0.25
0.8009259259259259,0.25
0.7268518518518519,0.25
0.7476851851851852,0.25
0.7152777777777778,0.25
0.7126436781609196,0.05
0.6896551724137931,0.05
0.7241379310344828,0.05
0.8045977011494253,0.05
0.7816091954022989,0.05
